ID,east,north,longitude,latitude
73080,100000,100000,-9.46145369387806,52.1432945645826
73081,100000,101000,-9.46174782909179,52.1522784559566
73082,100000,102000,-9.46204211861043,52.1612623323837
73083,100000,103000,-9.46233656254153,52.1702461938644
73084,100000,104000,-9.46263116099277,52.179230040399
73085,100000,105000,-9.46292591407194,52.1882138719878
73086,100000,106000,-9.46322082188688,52.197197688631
73087,100000,107000,-9.4635158845456,52.206181490329
73088,100000,108000,-9.46381110215616,52.2151652770822
73089,100000,109000,-9.46410647482675,52.2241490488907
73090,100000,110000,-9.46440200266567,52.2331328057549
73091,100000,111000,-9.46469768578129,52.2421165476752
73092,100000,112000,-9.46499352428212,52.2511002746519
73093,100000,113000,-9.46528951827676,52.2600839866852
73094,100000,114000,-9.4655856678739,52.2690676837754
73095,100000,115000,-9.46588197318236,52.278051365923
73096,100000,116000,-9.46617843431104,52.2870350331281
73097,100000,117000,-9.46647505136896,52.2960186853912
73098,100000,118000,-9.46677182446524,52.3050023227125
73099,100000,119000,-9.46706875370911,52.3139859450924
73100,100000,120000,-9.46736583920988,52.3229695525311
73101,100000,121000,-9.467663081077,52.331953145029
73102,100000,122000,-9.46796047942,52.3409367225864
73103,100000,123000,-9.46825803434853,52.3499202852036
73104,100000,124000,-9.46855574597233,52.3589038328809
73105,100000,125000,-9.46885361440125,52.3678873656187
73106,100000,126000,-9.46915163974526,52.3768708834173
73107,100000,127000,-9.46944982211442,52.385854386277
73108,100000,128000,-9.46974816161889,52.3948378741981
73109,100000,129000,-9.47004665836896,52.4038213471809
73110,100000,130000,-9.47034531247501,52.4128048052258
73111,100000,131000,-9.47064412404752,52.4217882483331
73112,100000,132000,-9.47094309319707,52.430771676503
73113,100000,133000,-9.47124222003439,52.439755089736
73114,100000,134000,-9.47154150467027,52.4487384880324
73115,100000,135000,-9.47184094721562,52.4577218713924
73116,100000,136000,-9.47214054778146,52.4667052398164
73117,100000,137000,-9.47244030647892,52.4756885933048
73118,100000,138000,-9.47274022341923,52.4846719318578
73119,100000,139000,-9.47304029871373,52.4936552554757
73120,100000,140000,-9.47334053247386,52.502638564159
73121,100000,141000,-9.47364092481119,52.511621857908
73122,100000,142000,-9.47394147583737,52.5206051367228
73123,100000,143000,-9.47424218566417,52.529588400604
